coder_id,manifesto,unit_id,sequence,code
proksch,GB,GB-058,58,403
proksch,GB,GB-059,59,405
proksch,GB,GB-060,60,405
proksch,GB,GB-061,61,405
proksch,GB,GB-062,62,701
proksch,GB,GB-063,63,701
proksch,GB,GB-064,64,701
proksch,GB,GB-065,65,701
proksch,GB,GB-066,66,701
proksch,GB,GB-067,67,701
proksch,GB,GB-068,68,701
proksch,GB,GB-069,69,701
proksch,GB,GB-070,70,701
proksch,GB,GB-071,71,411
proksch,GB,GB-072,72,402
proksch,GB,GB-073,73,402
proksch,GB,GB-074,74,411
proksch,GB,GB-075,75,411
proksch,GB,GB-076,76,402
proksch,GB,GB-077,77,411
proksch,GB,GB-078,78,403
proksch,GB,GB-079,79,303
proksch,GB,GB-080,80,403
proksch,GB,GB-081,81,403
proksch,GB,GB-082,82,403
proksch,GB,GB-083,83,402
proksch,GB,GB-084,84,402
proksch,GB,GB-085,85,402
proksch,GB,GB-086,86,402
proksch,GB,GB-087,87,402
proksch,GB,GB-088,88,403
proksch,GB,GB-089,89,403
proksch,GB,GB-090,90,403
proksch,GB,GB-091,91,403
proksch,GB,GB-092,92,703
proksch,GB,GB-093,93,703
proksch,GB,GB-094,94,703
proksch,GB,GB-095,95,703
proksch,GB,GB-096,96,703
proksch,GB,GB-097,97,703
proksch,GB,GB-098,98,703
proksch,GB,GB-099,99,411
proksch,GB,GB-100,100,411
proksch,GB,GB-101,101,411
proksch,GB,GB-102,102,506
proksch,GB,GB-103,103,411
proksch,GB,GB-104,104,506
proksch,GB,GB-105,105,411
proksch,GB,GB-106,106,506
proksch,GB,GB-107,107,506
luigi.curini,GB,GB-001,1,000
luigi.curini,GB,GB-002,2,202
luigi.curini,GB,GB-003,3,202
luigi.curini,GB,GB-004,4,305
luigi.curini,GB,GB-005,5,305
luigi.curini,GB,GB-006,6,606
luigi.curini,GB,GB-007,7,305
luigi.curini,GB,GB-008,8,410
luigi.curini,GB,GB-009,9,408
luigi.curini,GB,GB-010,10,305
