unit_id,manifesto,sequence,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_dom_1mmodal,full_class_rile_1mmodal,full_class_rile_distinct,full_class_rile_modal,full_exclude_n,full_exclude_cat_distinct,full_exclude_cat_modal_share,full_exclude_cat_1mmodal,full_exclude_cat_Hnorm,full_exclude_dom_1mmodal,full_exclude_rile_1mmodal,full_exclude_rile_distinct,full_exclude_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_dom_1mmodal,retained_class_rile_1mmodal,retained_class_rile_distinct,retained_class_rile_modal,retained_exclude_n,retained_exclude_cat_distinct,retained_exclude_cat_modal_share,retained_exclude_cat_1mmodal,retained_exclude_cat_Hnorm,retained_exclude_dom_1mmodal,retained_exclude_rile_1mmodal,retained_exclude_rile_distinct,retained_exclude_rile_modal
GB-028,GB,28,706,none,32,12,0.3125,0.6875,0.6079434002924964,0.46875,0.28125,3,none,30,11,0.3333333333333333,0.6666666666666667,0.5874573060751835,0.43333333333333335,0.30000000000000004,3,none,17,6,0.29411764705882354,0.7058823529411764,0.5738814944707805,0.4117647058823529,0.23529411764705888,2,none,17,6,0.29411764705882354,0.7058823529411764,0.5738814944707805,0.4117647058823529,0.23529411764705888,2,none
GB-029,GB,29,410,none,32,12,0.375,0.625,0.5716917186688699,0.3125,0.15625,3,none,30,11,0.4,0.6,0.5480551025359994,0.2666666666666667,0.16666666666666663,3,none,17,5,0.4117647058823529,0.5882352941176471,0.4652045722132713,0.17647058823529416,0.05882352941176472,2,none,17,5,0.4117647058823529,0.5882352941176471,0.4652045722132713,0.17647058823529416,0.05882352941176472,2,none
GB-030,GB,30,408,none,32,12,0.4375,0.5625,0.5315346664799394,0.21875,0.125,3,none,30,11,0.4666666666666667,0.5333333333333333,0.5044081247127514,0.16666666666666663,0.1333333333333333,3,none,17,6,0.47058823529411764,0.5294117647058824,0.4875342443114065,0.05882352941176472,0.11764705882352944,3,none,17,6,0.47058823529411764,0.5294117647058824,0.4875342443114065,0.05882352941176472,0.11764705882352944,3,none
GB-031,GB,31,606,right,32,10,0.6875,0.3125,0.37432815243737166,0.21875,0.25,3,right,31,9,0.7096774193548387,0.29032258064516125,0.34817398229341234,0.19354838709677424,0.22580645161290325,3,right,17,3,0.8235294117647058,0.17647058823529416,0.2041234515125354,0.17647058823529416,0.17647058823529416,2,right,17,3,0.8235294117647058,0.17647058823529416,0.2041234515125354,0.17647058823529416,0.17647058823529416,2,right
GB-032,GB,32,605,right,32,9,0.375,0.625,0.4812892596269315,0.28125,0.25,3,right,29,8,0.41379310344827586,0.5862068965517242,0.444647740413296,0.2068965517241379,0.1724137931034483,3,right,17,4,0.47058823529411764,0.5294117647058824,0.40262417894034275,0.17647058823529416,0.17647058823529416,2,right,17,4,0.47058823529411764,0.5294117647058824,0.40262417894034275,0.17647058823529416,0.17647058823529416,2,right
GB-033,GB,33,408,none,32,15,0.15625,0.84375,0.7382856063692049,0.15625,0.46875,3,none,31,14,0.16129032258064516,0.8387096774193549,0.7273454900657335,0.12903225806451613,0.4838709677419355,3,none,17,10,0.23529411764705882,0.7647058823529411,0.7588769229097542,0.11764705882352944,0.4117647058823529,3,none,17,10,0.23529411764705882,0.7647058823529411,0.7588769229097542,0.11764705882352944,0.4117647058823529,3,none
GB-034,GB,34,408,none,32,15,0.21875,0.78125,0.6871383974314379,0.4375,0.53125,3,none,30,14,0.23333333333333334,0.7666666666666666,0.67353489632192,0.4,0.5666666666666667,3,none,17,8,0.29411764705882354,0.7058823529411764,0.637064073178013,0.2941176470588235,0.47058823529411764,3,none,17,8,0.29411764705882354,0.7058823529411764,0.637064073178013,0.2941176470588235,0.47058823529411764,3,none
GB-035,GB,35,408,none,32,9,0.4375,0.5625,0.4893166195914178,0.375,0.40625,3,none,32,9,0.4375,0.5625,0.4893166195914178,0.375,0.40625,3,none,17,6,0.47058823529411764,0.5294117647058824,0.510698915763548,0.23529411764705888,0.2941176470588235,3,none,17,6,0.47058823529411764,0.5294117647058824,0.510698915763548,0.23529411764705888,0.2941176470588235,3,none
GB-036,GB,36,414,right,32,9,0.3125,0.6875,0.5298794940695398,0.1875,0.46875,3,none,28,8,0.35714285714285715,0.6428571428571428,0.5006217256184213,0.0714285714285714,0.5357142857142857,3,none,17,7,0.4117647058823529,0.5882352941176471,0.550114637584335,0.11764705882352944,0.4117647058823529,3,none,16,6,0.4375,0.5625,0.5115449229868743,0.0625,0.4375,3,none
GB-037,GB,37,414,right,32,9,0.21875,0.78125,0.5670178915009778,0.34375,0.53125,3,none,27,8,0.25925925925925924,0.7407407407407407,0.5508130913704635,0.2222222222222222,0.5555555555555556,3,right,17,7,0.23529411764705882,0.7647058823529411,0.6258285826427132,0.3529411764705882,0.5294117647058824,3,right,15,6,0.26666666666666666,0.7333333333333334,0.5904671603042952,0.2666666666666667,0.4666666666666667,3,right
